file,product,category,price_php,colorway
sofa-terracotta.png,Luna 3-Seater Sofa — Terracotta,Living Room,24999,Terracotta
sofa-sage.png,Luna 3-Seater Sofa — Sage,Living Room,24999,Sage
sofa-navy.png,Luna 3-Seater Sofa — Navy,Living Room,24999,Navy
sofa-mustard.png,Luna 3-Seater Sofa — Mustard,Living Room,24999,Mustard
armchair-terracotta.png,Amihan Armchair — Terracotta,Living Room,12499,Terracotta
armchair-sage.png,Amihan Armchair — Sage,Living Room,12499,Sage
armchair-navy.png,Amihan Armchair — Navy,Living Room,12499,Navy
armchair-mustard.png,Amihan Armchair — Mustard,Living Room,12499,Mustard
coffee-table-terracotta.png,Alon Coffee Table — Terracotta,Living Room,6499,Terracotta
coffee-table-sage.png,Alon Coffee Table — Sage,Living Room,6499,Sage
coffee-table-navy.png,Alon Coffee Table — Navy,Living Room,6499,Navy
coffee-table-mustard.png,Alon Coffee Table — Mustard,Living Room,6499,Mustard
tv-console-terracotta.png,Bayan TV Console — Terracotta,Living Room,11999,Terracotta
tv-console-sage.png,Bayan TV Console — Sage,Living Room,11999,Sage
tv-console-navy.png,Bayan TV Console — Navy,Living Room,11999,Navy
tv-console-mustard.png,Bayan TV Console — Mustard,Living Room,11999,Mustard
floor-lamp-terracotta.png,Sinag Floor Lamp — Terracotta,Lighting,2999,Terracotta
floor-lamp-sage.png,Sinag Floor Lamp — Sage,Lighting,2999,Sage
floor-lamp-navy.png,Sinag Floor Lamp — Navy,Lighting,2999,Navy
floor-lamp-mustard.png,Sinag Floor Lamp — Mustard,Lighting,2999,Mustard
dining-table-terracotta.png,Tala Dining Table — Terracotta,Dining,18999,Terracotta
dining-table-sage.png,Tala Dining Table — Sage,Dining,18999,Sage
dining-table-navy.png,Tala Dining Table — Navy,Dining,18999,Navy
dining-table-mustard.png,Tala Dining Table — Mustard,Dining,18999,Mustard
dining-chair-terracotta.png,Habi Dining Chair — Terracotta,Dining,3499,Terracotta
dining-chair-sage.png,Habi Dining Chair — Sage,Dining,3499,Sage
dining-chair-navy.png,Habi Dining Chair — Navy,Dining,3499,Navy
dining-chair-mustard.png,Habi Dining Chair — Mustard,Dining,3499,Mustard
bar-stool-terracotta.png,Bituin Bar Stool — Terracotta,Dining,2499,Terracotta
bar-stool-sage.png,Bituin Bar Stool — Sage,Dining,2499,Sage
bar-stool-navy.png,Bituin Bar Stool — Navy,Dining,2499,Navy
bar-stool-mustard.png,Bituin Bar Stool — Mustard,Dining,2499,Mustard
bed-terracotta.png,Kalinaw Queen Bed — Terracotta,Bedroom,27999,Terracotta
bed-sage.png,Kalinaw Queen Bed — Sage,Bedroom,27999,Sage
bed-navy.png,Kalinaw Queen Bed — Navy,Bedroom,27999,Navy
bed-mustard.png,Kalinaw Queen Bed — Mustard,Bedroom,27999,Mustard
wardrobe-terracotta.png,Diwa Wardrobe — Terracotta,Bedroom,21999,Terracotta
wardrobe-sage.png,Diwa Wardrobe — Sage,Bedroom,21999,Sage
wardrobe-navy.png,Diwa Wardrobe — Navy,Bedroom,21999,Navy
wardrobe-mustard.png,Diwa Wardrobe — Mustard,Bedroom,21999,Mustard
bookshelf-terracotta.png,Marikit Bookshelf — Terracotta,Office,8999,Terracotta
bookshelf-sage.png,Marikit Bookshelf — Sage,Office,8999,Sage
bookshelf-navy.png,Marikit Bookshelf — Navy,Office,8999,Navy
bookshelf-mustard.png,Marikit Bookshelf — Mustard,Office,8999,Mustard
desk-terracotta.png,Ligaya Work Desk — Terracotta,Office,9999,Terracotta
desk-sage.png,Ligaya Work Desk — Sage,Office,9999,Sage
desk-navy.png,Ligaya Work Desk — Navy,Office,9999,Navy
desk-mustard.png,Ligaya Work Desk — Mustard,Office,9999,Mustard
hero-living-room.png,Hero banner — living room scene,Hero,,
hero-bedroom.png,Hero banner — bedroom scene,Hero,,
